"Product (20)","Description","Primary Vendor Name","Product Line Description","Web Category Description","Primary Vendor","Product Line Code","Web Category","Major Group Code","Major Group Description","Price Group Code","Price Group Description","UPC","Image File","Image Path","Image URL","Status","Available","Units of Measure"
"SDD30SB","Fine Fixures TUB PANEL FIXED  FRAMELESS - 30"" X 58"" - SATIN ","FINE FIXTURE","FINE FIXTURES","","00296","0143","","","","","","","","https://finefixadmin.wpengine.com/wp-content/uploads/2022/12/TDF1-SB.jpg","https://finefixadmin.wpengine.com/wp-content/uploads/2022/12/TDF1-SB.jpg","N","0","EA"
"LA5807","5/8"" X 3/4"" LEAD-MIPS PAK ADPT                              ","WALRICH CORPORATION","SPECIALTYS","","00666","0003","","","","","","","","https://ysps.shop/media/products/images/LA5807.jpg  ","https://ysps.shop/media/products/images/LA5807.jpg  ","","3","EA"
"SVTY60","6"" SERVICE WEIGHT TEE                                       ","The Plumbing Exchange","sv fitting","","00635","0128","","","","","","","","","","N","0","EA"
"MXM24WH","Fine Fixures MAXI COLLECTION  MIRROR 24' - WHITE            ","FINE FIXTURE","FINE FIXTURES","","00296","0143","","","","","","","","https://finefixadmin.wpengine.com/wp-content/uploads/2020/06/MAXI-MIRROR-side-view-2000x2000-1.jpg","https://finefixadmin.wpengine.com/wp-content/uploads/2020/06/MAXI-MIRROR-side-view-2000x2000-1.jpg","N","0","EA"
"SSCDS134","5/16 x 1-3/4 domestic side    sammy - Concrete 3/8 25/Box   ","EVERFLOW SUPPLIES INC","SAMMY:SSW","","00283","0101","","04","HANGERS STRAPS","","","092097920163","","","","N","0","EA"
"CC2005","2"" x 1/2"" Copper Reducing     Coupling                      ","EVERFLOW SUPPLIES INC","COPPER FITTINGS R","","00283","0107","","01","Copper Fittings","","","","","https://ysps.shop/media/products/images/CC2005-0.jpg","https://ysps.shop/media/products/images/CC2005-0.jpg","","79","EA"
"CPT301030","3 X 1 X 3 COPPER PRESS TEE                                  ","EVERFLOW SUPPLIES INC","COPPER PRESS","","00283","0093","","","","","","80459511385","","https://ysps.shop/media/products/images/CPT251025.jpg","https://ysps.shop/media/products/images/CPT251025.jpg","","2","EA"
"MRS2424SN","Fine Fixures 24"" X 24"" MIRROR RECTANGULAR SHARP CORNERS     ","FINE FIXTURE","FINE FIXTURES","","00296","0143","","","","","","","","https://finefixadmin.wpengine.com/wp-content/uploads/2022/09/MRS2424SN03.jpg","https://finefixadmin.wpengine.com/wp-content/uploads/2022/09/MRS2424SN03.jpg","N","0","EA"
"CALG36PC","Fine Fixures CONCORDIA LEG /  BASE 36' WIDE - POLISHED      ","FINE FIXTURE","FINE FIXTURES","","00296","0143","","","","","","","","https://finefixadmin.wpengine.com/wp-content/uploads/2020/06/36-pc-1-2000x2000-1.jpg","https://finefixadmin.wpengine.com/wp-content/uploads/2020/06/36-pc-1-2000x2000-1.jpg","N","0","EA"
"CC2007","2"" x 3/4"" Copper Reducing     Coupling                      ","EVERFLOW SUPPLIES INC","COPPER FITTINGS R","","00283","0107","","01","Copper Fittings","","","8.04595E+11","","https://ysps.shop/media/products/images/CC05.jpg","https://ysps.shop/media/products/images/CC05.jpg","","31","EA"
"CT1505","1-1/2"" x 1-1/2"" x 1/2"" Copper Reducing Tee                  ","EVERFLOW SUPPLIES INC","COPPER FITTINGS R","","00283","0107","","01","Copper Fittings","","","8.04595E+11","","https://ysps.shop/media/products/images/CT050507.jpg","https://ysps.shop/media/products/images/CT050507.jpg","","887","EA"
